key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_info_serving_sizes_cruciferous_vegetables_imperial.1	dozeVegetablesCruciferous.Serving.imperial.1	½ cup Brussels sprouts	½杯孢子甘蓝苗		
food_info_serving_sizes_cruciferous_vegetables_imperial.2	dozeVegetablesCruciferous.Serving.imperial.2	¼ cup Broccoli sprouts	¼杯西兰花苗		
food_info_serving_sizes_cruciferous_vegetables_imperial.3	dozeVegetablesCruciferous.Serving.imperial.3	1 tablespoon horseradish	1大匙辣根		
food_info_serving_sizes_cruciferous_vegetables_metric.1	dozeVegetablesCruciferous.Serving.metric.1	78 g Brussels sprouts	78克孢子甘蓝苗		
food_info_serving_sizes_cruciferous_vegetables_metric.2	dozeVegetablesCruciferous.Serving.metric.2	14 g Broccoli sprouts	14克西兰花苗		
food_info_serving_sizes_cruciferous_vegetables_metric.3	dozeVegetablesCruciferous.Serving.metric.3	1 tablespoon horseradish	1大匙辣根		
android_about_text_translators	info_app_about_translators	Special thanks to our volunteer translators: Ricard Soler Roger (ca), Luděk Bouška (cs), Lenka Lukacová (cs), Anke Schliessmann (de), Doron Barak (he), Ruth Levy (he), Joanna Klopotek (pl), Tania Bassi (pt-BR), João Madureira (pt-PT), Evgeniya Lyakh (ru).	特别鸣谢翻译志愿者：Ricard Soler Roger（加泰罗尼亚语）、Luděk Bouška（捷克语）、Lenka Lukacová（捷克语）、Anke Schliessmann（德语）、Doron Barak（希伯来语）、Ruth Levy（希伯来语）、Joanna Klopotek（波兰语）、Tania Bassi（巴西葡语）、João Madureira（葡萄牙葡语）、Evgeniya Lyakh（俄语）。	Info About View: Contributing Translators List	
	setting_analytics_body	Enable anonymous usage information to be collected to help improve this application.	允许收集匿名使用信息以帮助改进此应用程序。	Google Firebase Analytics	
	setting_analytics_enable	Enable Analytics	启用分析	Google Firebase Analytics	
	setting_analytics_opt_in	Opt In	选择同意	Google Firebase Analytics	
	setting_analytics_opt_out	Opt Out	选择退出	Google Firebase Analytics	
	setting_analytics_title	Analytics	分析	Google Firebase Analytics	
